gorila_id,site,object_type,commodity_class,logogram_bennett,logogram_transliteration,logogram_sequence,before_-1_bennett,before_-1_translit,before_-1_type,before_-2_bennett,before_-2_translit,before_-2_type,after_1_bennett,after_1_translit,after_1_type,after_2_bennett,after_2_translit,after_2_type,after_3_bennett,after_3_translit,after_3_type
HTWa1649,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1650,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1651,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1652,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1653,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1654,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1655,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1656,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1657,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1658,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1659,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1660,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1661,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1662,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1664,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1665,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1666,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1667,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1668,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1669,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1670,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1671,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1672,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1673,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1674,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1675,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1676,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1677,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1678,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1679,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1680,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1681,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1682,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1683,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1684,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1685,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1686,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1687,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1688,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1689,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1690,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1691,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1692,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1693,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1694,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1695,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1696,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1697,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1698,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1699,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1700,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1701,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1702,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1703,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1704,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1705,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1706,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1707,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1708,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1709,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1710,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1711,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1712,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1713,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1714,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1715,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1716,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1717,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1718,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1719,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1720,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1721,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1722,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1723,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1724,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1725,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1726,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1727,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1728,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1729,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1730,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1731,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1732,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1733,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1734,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1735,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1736,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1737,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1738,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1739,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1740,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1741,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1742,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1743,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1744,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1745,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1746,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1747,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1748,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1749,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1750,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1751,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1752,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1753,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1754,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1755,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1756,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1757,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1758,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1759,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1760,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1761,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1762,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1763,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1764,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1765,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1766,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1767,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1768,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1769,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1770,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1771,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1772,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1773,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1774,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1775,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1776,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1777,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1778,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1779,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1780,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1781,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1782,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1783,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1784,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1785,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1786,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1787,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1788,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1789,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1790,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1791,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1792,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1793,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1794,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1795,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1796,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1797,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1798,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1799,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1800,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1801,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1802,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1803,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1804,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1805,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1806,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1807,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1808,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1809,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1810,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1811,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1812,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1813,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1814,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1815,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1816,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1817,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1818,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1819,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1820,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1821,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1822,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1823,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1824,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1825,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1826,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1827,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1828,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1829,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1830,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1831,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1832,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1833,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1834,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1835,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1836,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1837,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1838,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1839,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1840,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1841,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1842,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1843,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1844,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1845+1733,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1846,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1847,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1848,Haghia Triada - Portico 11 and Room 13,Nodule,PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTWa1849,Haghia Triada - Portico 11 and Room 13,Nodule,UNKNOWN_COMMODITY,A 365,*365,0,,,,,,,,,,,,,,,
HTWa1850,Haghia Triada - Portico 11 and Room 13,Nodule,UNKNOWN_COMMODITY,A 366,*366,0,,,,,,,,,,,,,,,
HTWa1851,Haghia Triada - Portico 11 and Room 13,Nodule,UNKNOWN_COMMODITY,A 367,*367,0,,,,,,,,,,,,,,,
HTWa1852,Haghia Triada - Portico 11 and Room 13,Nodule,UNKNOWN_COMMODITY,A 368,*368,0,,,,,,,,,,,,,,,
HTWa1853,Haghia Triada - Portico 11 and Room 13,Nodule,UNKNOWN_COMMODITY,A 369,*369,0,,,,,,,,,,,,,,,
HTWa1854,Haghia Triada - Portico 11 and Room 13,Nodule,UNKNOWN_COMMODITY,A 370,*370,0,,,,,,,,,,,,,,,
HTWc3006,Haghia Triada,roundel,UNKNOWN_COMMODITY,A 314,*314,4,AB 61,O,syllabogram,AB 73,MI,syllabogram,AB 60,RA,syllabogram,,,,,,
HTWc3009,Haghia Triada,roundel,VESSELS,A 333,*333,0,,,,,,,AB 07,DI,syllabogram,AB 58,SU,syllabogram,AB 77,KA,syllabogram
HTWc3010,Haghia Triada,roundel,VESSELS,A 333,*333,0,,,,,,,AB 07,DI,syllabogram,AB 06,NA,syllabogram,AB 58,SU,syllabogram
HTWc3015,Haghia Triada,roundel,LIVESTOCK,A 303,CYP,3,AB 77,KA,syllabogram,AB 81,KU,syllabogram,,,,,,,,,
HTWc3017,Haghia Triada,roundel,LIVESTOCK,A 306,*306,5,AB 27,RE,syllabogram,,𐄁,syllabogram,,𐄁,syllabogram,,CYP+D,syllabogram,,*304+PA,syllabogram
HTWc3022(?),Haghia Triada,roundel,MANPOWER,A 100-102,VIR+[?],0,,,,,,,,,,,,,,,
HTWd1663,Haghia Triada,tablet (page-shaped),PERSONNEL,A 301,*301,0,,,,,,,,,,,,,,,
HTZd155,Haghia Triada,Graffito,UNKNOWN_COMMODITY,A 319,*904,8,AB 80,MA,syllabogram,AB 37,TI,syllabogram,,,,,,,,,
